ID,Language_ID,Parameter_ID,Form,Segments,Comment,Source
form-363,enap1235,jump,ahpəmɨ,,,meiraDBpanare
form-364,macu1259,jump,apɨrumɨ,,,meiraDBmacushi
form-365,gali1262,jump,aporomɨ,,,courtz2008carib
form-366,kaxu1237,jump,ahonɨmɨ,,,meiraDBkaxui
form-367,maqu1238,jump,ahanɨmɨ,,,maquiritaricaceres2011
form-368,ikpe1245,jump,alum,,,meiraDBikpeng
form-369,cari1283,jump,apurumɨ,,,
form-370,tupi1276,jump,pot,,,mello2000ptg
form-371,tupi1273,100,so,,,rodrigues1985evidence
form-372,mund1330,100,t͡ʃɨ,,,rodrigues1985evidence
form-373,sate1243,100,to,,,rodrigues1985evidence
form-374,awet1244,100,to,,,rodrigues1985evidence
form-375,waiw1244,100,to,,,rodrigues1985evidence
form-376,hixk1239,100,to,,,rodrigues1985evidence
form-377,baka1277,100,də,,,rodrigues1985evidence
form-378,tupi1273,108,ʔe,,,rodrigues1985evidence
form-379,tupa1250,108,ke,,,rodrigues1985evidence
form-380,tupa1250,108,ka,,,rodrigues1985evidence
form-381,mund1330,108,ʔe,,,rodrigues1985evidence
form-382,waiw1244,108,ka,,,rodrigues1985evidence
form-383,hixk1239,108,ka,,,rodrigues1985evidence
form-384,pemo1248,108,ka,,,rodrigues1985evidence
form-385,baka1277,108,ke,,,rodrigues1985evidence
form-386,cari1283,say,ka(ti),,,
form-387,tupi1273,119,tiŋ,,,rodrigues1985evidence
form-388,tupa1250,119,niŋ,,,rodrigues1985evidence
form-389,hixk1239,119,t͡ʃeme,,,rodrigues1985evidence
pem-poison,pemo1248,119,i-teg,,,rodrigues1985evidence
form-391,gali1262,119,e-tim-ui,,,rodrigues1985evidence
form-392,macu1259,119,tɨmɨ,,,rodrigues1985evidence[389];meiraDBmacushi
form-393,trio1238,119,tinje,,,rodrigues1985evidence
form-394,waya1269,poisonfish,tum,,,camargo2010wayana
form-395,apal1257,poisonmakedrunk,tɨmɨ,,,meiraDBapalai
form-396,enap1235,poison,tɨmə,,,meiraDBpanare
form-397,waiw1244,poison,t͡ʃim,,,meiraDBwaiwai
form-398,tupi1276,anteater,tamanuʔa,,,mello2000ptg[195]
form-399,tupi1276,aunt,enɨr,,,mello2000ptg[161]
form-400,tupi1276,barkskin,pe,,,mello2000ptg[186]
form-401,tupi1276,bow,ɨβɨrapar,,,mello2000ptg[206]
form-402,tupi1276,bromeliasp,karawata,,,mello2000ptg[171]
form-403,tupi1276,coatimundibear,kʷati,,,mello2000ptg[176]
form-404,tupi1276,face,oβa,,,mello2000ptg[183]
form-405,tupi1276,feather,pepo,,,mello2000ptg
form-406,tupi1276,grandfather,amõj,,,mello2000ptg[153]
form-407,tupi1276,hut,tapɨj,,,mello2000ptg[196]
form-408,tupi1276,ibisrubra,wara,,,mello2000ptg[204]
form-409,tupi1276,jaguar,jawar,,,mello2000ptg[167]
form-410,tupi1276,leaf,oβ,,,mello2000ptg[183]
form-411,tupi1276,mycteriaamericana,tujuju,,,mello2000ptg[198]
form-412,tupi1276,myletesfish,paku,,,mello2000ptg[185]
form-413,tupi1276,nephew,peŋ,,,mello2000ptg[187]
form-414,tupi1276,oldersister,ɨker,,,birchall2019note
form-415,tupi1276,ortalisbird,arakuã,,,mello2000ptg[156]
form-416,tupi1276,parrot,parawa,,,mello2000ptg[186]
form-417,tupi1276,parrotsp,marakanã,,,mello2000ptg[177]
form-418,tupi1276,passionflower,marakuja,,,mello2000ptg[177]
form-419,tupi1276,pineapple,nanã,,,mello2000ptg[183]
form-420,tupi1276,piranha,pirãj,,,mello2000ptg[188]
form-421,tupi1276,prochilodusfish,kurimata,,,mello2000ptg[173]
form-422,tupi1276,river,paranã,,,mello2000ptg[186]
form-423,tupi1276,termite,kupiʔi,,,mello2000ptg[173]
form-424,tupi1276,trunk,ɨpɨ,,,mello2000ptg[206]
form-425,tupi1276,wasp,kaβ,,,mello2000ptg[170]
form-426,tupi1276,wildcat,marakaja,,,mello2000ptg[177]
form-427,tupi1276,youngerbrother,ɨβɨr,,,birchall2019note
form-428,mawe1252,father,up,,,meiraetal2015summary
form-429,sate1243,semen,sup,,,meiraetal2015summary
maw-heel,sate1243,heel,pɨa,,,meiraetal2015summary
awe-heel,awet1244,heel,apɨta,,,meiraetal2015summary
form-432,mund1330,myheel,wə̰jda˦,,,picanco2020Munduruku
form-433,akun1241,heel,piat͡ʃa,,,aragon2008akuntsu
form-434,mund1330,foot,i,,,picanco2005munduruku
form-435,kuru1309,foot,i,,,gomes2007kuruaya
form-436,gavi1246,foot,pi,,,moore1984gaviao
form-437,kari1311,foot,pi,,,everett2006karitiana
form-438,tupa1251,foot,mbi,,,nikulin2020tuparian
form-439,xipa1240,foot,pɨdapa,,,rodrigues1995xipaya
form-440,karo1305,foot,pibɛʔ,,,gabas1999karo
form-441,mund1330,myfoot,wəi,,,crofts2004munduruku
form-442,tupi1276,foot,pɨ,,,mello2000ptg
sur-foot,suru1262,foot,piipe,,,bontkes1978surui
sur-heel,suru1262,heel,pinia,,,bontkes1978surui
form-445,waiw1244,die,wajiɸɨ,,,meiraDBwaiwai
